id,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Card_image,Full_image
41,"Sonic the Hedgehog",GEN,1991,Platform,"Sega  ","Sonic Team  ",0,0,3.03,0.91,0.26,0.13,4.34,https://www.vgchartz.com/games/boxart/4697634ccc.jpg,https://www.vgchartz.com/games/banners/sonic-the-hedgehog_banner60.jpg
42,"Gran Turismo 3: A-Spec",PS2,2001,Racing,"Sony Computer Entertainment  ","Polyphony Digital  ",9.3,0,6.85,5.09,1.87,1.16,14.98,https://www.vgchartz.com/games/boxart/full_5113832AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/gran-turismo-3-a-spec_banner27.jpg
43,"Brain Age 2: More Training in Minutes a Day",DS,2007,Misc,"Nintendo  ","Nintendo SDD  ",8,0,3.43,5.36,5.32,1.18,15.29,https://www.vgchartz.com/games/boxart/full_1039696AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/brain-age-2-more-training-in-minutes-a-day_banner28.png
44,"Call of Duty: Modern Warfare 3",X360,2011,Shooter,"Activision  ","Infinity Ward  ",8.7,0,9.07,4.29,0.13,1.33,14.82,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,https://www.vgchartz.com/games/banners/call-of-duty-modern-warfare-3_banner39.jpg
45,"Call of Duty: Black Ops",X360,2010,Shooter,"Activision  ","Treyarch  ",8.8,0,9.76,3.73,0.11,1.14,14.74,https://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg,https://www.vgchartz.com/games/banners/call-of-duty-black-ops_banner33.jpg
46,"Pokémon Yellow: Special Pikachu Edition",GB,1999,Role-Playing,"Nintendo  ","Game Freak  ",8.7,0,5.89,5.04,3.12,0.59,14.64,https://www.vgchartz.com/games/boxart/4260472ccc.jpg,https://www.vgchartz.com/games/banners/pokemon-yellow-special-pikachu-edition_banner34.png
47,"Halo 3",X360,2007,Shooter,"Microsoft Game Studios  ","Bungie Studios  ",9.6,9.5,7.97,2.81,0.13,1.21,12.13,https://www.vgchartz.com/games/boxart/full_8373567AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/halo-3_banner12.png
48,"Pokémon Omega Ruby/Pokémon Alpha Sapphire",3DS,2014,Role-Playing,"Nintendo  ","Game Freak  ",0,0,4.78,3.98,3.15,0.82,12.73,https://www.vgchartz.com/games/boxart/full_5184866AmericaFrontccc.png,https://www.vgchartz.com/games/banners/324016381906ccc.jpg
49,"Red Dead Redemption 2",PS4,2018,Action-Adventure,"Rockstar Games  ","Rockstar Games  ",9.8,0,5.26,6.21,0.21,2.26,13.94,https://www.vgchartz.com/games/boxart/full_4653215AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6146653140683ccc.png
50,"Call of Duty: Black Ops II",X360,2012,Shooter,"Activision  ","Treyarch  ",0,0,8.27,4.32,0.07,1.2,13.86,https://www.vgchartz.com/games/boxart/full_1977964AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/21918570716ccc.jpg
