,Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,card_image,full_image
727,738,Crash Bandicoot N. Sane Trilogy,PS4,2017.0,Platform,Activision  ,Vicarious Visions  ,,,1.09,2.92,0.07,0.74,4.83,https://www.vgchartz.com/games/boxart/full_2372411AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/450338150131ccc.jpg
728,739,Assassin's Creed,PS3,2007.0,Action,Ubisoft  ,Ubisoft Montreal  ,8.2,8.5,1.91,2.01,0.09,0.82,4.83,https://www.vgchartz.com/games/boxart/full_2363378AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/assassins-creed_banner52.jpg
733,744,Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment  ,Naughty Dog  ,9.2,,2.57,1.57,0.44,0.21,4.79,https://www.vgchartz.com/games/boxart/full_1178878AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/crash-team-racing_banner14.jpg
735,746,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Adventure,Nintendo  ,Nintendo EAD  ,9.1,,1.85,1.8,0.95,0.48,5.09,https://www.vgchartz.com/games/boxart/full_9653536AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/the-legend-of-zelda-phantom-hourglass_banner57.png
736,747,Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.5,,2.99,1.28,0.04,0.44,4.75,https://www.vgchartz.com/games/boxart/full_batman-arkham-city_302AmericaFront.jpg,https://www.vgchartz.com/games/banners/batman-arkham-city_banner15.jpg
738,749,Driver 2,PS,2000.0,Action,Atari  ,Reflections Interactive  ,7.0,,2.36,2.1,0.02,0.25,4.73,https://www.vgchartz.com/games/boxart/full_6536899AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/driver-2_banner65.jpg
740,751,The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.97,0.61,0.01,0.15,1.74,https://www.vgchartz.com/games/boxart/full_4545317AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/362725571481ccc.png
742,753,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision  ,Neversoft Entertainment  ,9.3,,3.05,1.41,0.02,0.2,4.68,https://www.vgchartz.com/games/boxart/1600356ccc.jpg,https://www.vgchartz.com/games/banners/tony-hawks-pro-skater-2_banner65.png
743,754,Gran Turismo,PSP,2009.0,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,7.7,9.5,0.43,1.4,0.31,0.78,2.93,https://www.vgchartz.com/games/boxart/full_9538254AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/gran-turismo_banner38.jpg
744,755,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts  ,Stormfront Studios  ,8.3,,1.94,1.95,0.08,0.7,4.67,https://www.vgchartz.com/games/boxart/8307809ccc.jpg,https://www.vgchartz.com/games/banners/the-lord-of-the-rings-the-two-towers_banner65.jpg
745,756,Nintendogs + cats,3DS,2011.0,Simulation,Nintendo  ,Nintendo EAD  ,7.2,,1.44,1.69,0.73,0.29,4.15,https://www.vgchartz.com/games/boxart/full_98856AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/nintendogs-cats_banner74.jpg
746,757,Tomb Raider,PS,1996.0,Action,Eidos Interactive  ,Core Design Ltd.  ,8.9,,2.29,1.97,0.13,0.24,4.63,https://www.vgchartz.com/games/boxart/8585565ccc.jpg,https://www.vgchartz.com/games/banners/2257892472ccc.png
747,758,God of War,PS2,2005.0,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,,2.71,1.29,0.02,0.43,4.45,https://www.vgchartz.com/games/boxart/full_5633331AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/god-of-war_banner26.jpg
748,759,The Legend of Zelda: A Link to the Past,SNES,1992.0,Adventure,Nintendo  ,Nintendo EAD  ,10.0,,2.42,0.91,1.15,0.13,4.61,https://www.vgchartz.com/games/boxart/1323877ccc.jpg,https://www.vgchartz.com/games/banners/the-legend-of-zelda-a-link-to-the-past_banner8.png
750,761,Forza Motorsport 4,X360,2011.0,Racing,Microsoft Studios  ,Turn 10 Studio  ,9.1,,2.08,1.98,0.06,0.49,4.6,https://www.vgchartz.com/games/boxart/full_forza-motorsport-4_905AmericaFront.jpg,https://www.vgchartz.com/games/banners/forza-motorsport-4_banner67.jpg
751,762,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,RedOctane  ,Vicarious Visions  ,8.6,,3.04,1.12,0.0,0.44,4.6,https://www.vgchartz.com/games/boxart/full_2081446AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/guitar-hero-iii-legends-of-rock_banner53.jpg
754,765,Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,Nintendo  ,AlphaDream Corporation  ,9.1,,2.23,0.47,0.81,0.27,3.77,https://www.vgchartz.com/games/boxart/full_8699724AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/mario-ampamp-luigi-bowsers-inside-story_banner92.png
755,766,FIFA 15,PS3,2014.0,Sports,EA Sports  ,EA Canada  ,6.9,,0.59,3.25,0.04,0.68,4.56,https://www.vgchartz.com/games/boxart/full_2431298AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/748432482921ccc.jpg
756,767,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega  ,Sega  ,6.8,,1.87,1.97,0.22,0.48,4.54,https://www.vgchartz.com/games/boxart/full_1173134AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/mario-ampamp-sonic-at-the-olympic-winter-games_banner60.jpg
757,768,Overwatch,PS4,2016.0,Shooter,Blizzard Entertainment  ,Blizzard Entertainment  ,8.8,,1.84,1.8,0.17,0.73,4.54,https://www.vgchartz.com/games/boxart/full_8847041AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/770880686157ccc.jpg
758,769,Madden NFL 2005,PS2,2004.0,Sports,EA Sports  ,EA Tiburon  ,9.5,,4.18,0.26,0.01,0.08,4.53,https://www.vgchartz.com/games/boxart/4564394ccc.jpg,https://www.vgchartz.com/games/banners/madden-nfl-2005_banner3.jpg
759,770,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,RedOctane  ,Neversoft  ,8.7,,3.19,0.91,0.01,0.42,4.53,https://www.vgchartz.com/games/boxart/full_2655054AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/guitar-hero-iii-legends-of-rock_banner92.jpg
760,771,Star Wars Battlefront II (2017),PS4,2017.0,Shooter,Electronic Arts  ,EA DICE  ,,,1.7,1.99,0.12,0.73,4.53,https://www.vgchartz.com/games/boxart/full_4032018AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1093414169396ccc.jpg
768,779,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.4,9.2,2.8,2.01,0.17,0.87,5.85,https://www.vgchartz.com/games/boxart/full_2499488AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/littlebigplanet_banner38.jpg
778,789,Professor Layton and the Curious Village,DS,2008.0,Adventure,Nintendo  ,Level 5  ,8.7,,1.21,2.44,1.03,0.51,5.2,https://www.vgchartz.com/games/boxart/full_9257520AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/professor-layton-and-the-curious-village_banner50.png
779,790,Spider-Man: The Movie,PS2,2002.0,Action,Activision  ,Treyarch  ,8.2,,2.71,1.51,0.03,0.23,4.48,https://www.vgchartz.com/games/boxart/full_9484527AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/spider-man_banner29.png
780,791,The Elder Scrolls IV: Oblivion,X360,2009.0,Role-Playing,Take-Two Interactive  ,Bethesda Softworks  ,9.2,,2.89,1.03,0.13,0.41,4.47,https://www.vgchartz.com/games/boxart/9008679ccc.jpg,https://www.vgchartz.com/games/banners/the-elder-scrolls-iv-oblivion_banner93.png
783,794,The Legend of Zelda: The Wind Waker,GC,2003.0,Adventure,Nintendo  ,Nintendo EAD  ,9.6,,2.6,0.99,0.89,0.13,4.6,https://www.vgchartz.com/games/boxart/full_6636308AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/the-legend-of-zelda-the-wind-waker_banner93.jpg
784,795,Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision  ,Neversoft Entertainment  ,9.1,,2.66,1.29,0.01,0.46,4.41,https://www.vgchartz.com/games/boxart/7125264ccc.jpg,https://www.vgchartz.com/games/banners/tony-hawks-pro-skater-3_banner53.png
787,798,Winning Eleven: Pro Evolution Soccer 2007,PS2,2007.0,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,8.8,,0.1,2.39,1.05,0.86,4.39,https://www.vgchartz.com/games/boxart/full_2440699AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/winning-eleven-pro-evolution-soccer-2007_banner18.jpg
788,799,Zelda II: The Adventure of Link,NES,1988.0,Adventure,Nintendo  ,Nintendo EAD  ,,,2.19,0.5,1.61,0.08,4.38,https://www.vgchartz.com/games/boxart/full_5047635AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/zelda-ii-the-adventure-of-link_banner7.jpg
789,800,Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft  ,Ubisoft Montpellier  ,5.6,,2.64,1.33,0.01,0.39,4.37,https://www.vgchartz.com/games/boxart/full_michael-jackson-the-experience_693AmericaFront.jpg,https://www.vgchartz.com/games/banners/michael-jackson-the-experience_banner13.jpg
790,801,Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft  ,Massive Entertainment  ,,,1.49,2.04,0.16,0.69,4.37,https://www.vgchartz.com/games/boxart/full_8077647AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/884621673095ccc.png
791,802,Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts  ,EA Canada  ,8.6,,2.03,1.79,0.08,0.47,4.37,https://www.vgchartz.com/games/boxart/full_137103AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/need-for-speed-most-wanted_banner87.png
792,803,Tom Clancy's Rainbow Six: Siege,PS4,2015.0,Shooter,Ubisoft  ,Ubisoft Montreal  ,,,1.29,2.06,0.36,0.64,4.36,https://www.vgchartz.com/games/boxart/full_2998894AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/461386982933ccc.jpg
793,804,Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision  ,High Moon Studios  ,9.1,,2.81,1.13,0.0,0.41,4.34,https://www.vgchartz.com/games/boxart/full_4034633AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/310354481794ccc.jpg
794,805,Watch Dogs,PS4,2014.0,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,1.4,2.13,0.11,0.68,4.32,https://www.vgchartz.com/games/boxart/full_5952592AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/752154671547ccc.jpg
795,806,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo  ,Nintendo EAD  ,7.1,8.8,1.84,1.13,1.32,0.36,4.65,https://www.vgchartz.com/games/boxart/full_3192593AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/animal-crossing-city-folk_banner15.jpg
799,810,Dragon Quest VII,PS,2001.0,Role-Playing,Enix  ,Heart Beat  ,8.0,3.0,0.2,0.14,4.1,0.02,4.47,https://www.vgchartz.com/games/boxart/1747742ccc.jpg,https://www.vgchartz.com/games/banners/dragon-warrior-vii_banner88.png
801,812,Monster Hunter Generations,3DS,2016.0,Action,Capcom  ,Capcom  ,8.8,,0.42,0.26,2.82,0.07,3.56,https://www.vgchartz.com/games/boxart/full_1311455AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/702093585569ccc.jpg
802,813,Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive  ,Rocksteady Studios  ,9.0,,2.26,1.33,0.07,0.63,4.28,https://www.vgchartz.com/games/boxart/full_8831048AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/batman-arkham-asylum_banner39.png
803,814,Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision  ,High Moon Studios  ,9.1,,1.59,1.81,0.2,0.67,4.27,https://www.vgchartz.com/games/boxart/full_4650769AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/896329381795ccc.jpg
804,815,God of War II,PS2,2007.0,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,9.8,2.32,0.04,0.04,1.67,4.07,https://www.vgchartz.com/games/boxart/full_9897259AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/god-of-war-ii_banner96.jpg
805,816,Namco Museum,GBA,2001.0,Misc,Namco  ,Mass Media  ,,,3.0,1.11,0.05,0.07,4.24,https://www.vgchartz.com/games/boxart/7930398ccc.jpg,https://www.vgchartz.com/games/banners/namco-museum_banner81.jpg
806,817,Super Paper Mario,Wii,2007.0,Platform,Nintendo  ,Intelligent Systems  ,8.5,,1.95,0.87,0.59,0.32,3.73,https://www.vgchartz.com/games/boxart/full_4113341AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/super-paper-mario_banner28.jpg
807,818,Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft  ,Ubisoft Montreal  ,8.8,,1.41,2.03,0.1,0.69,4.23,https://www.vgchartz.com/games/boxart/full_assassins-creed-revelations_212AmericaFront.jpg,https://www.vgchartz.com/games/banners/assassins-creed-revelations_banner31.jpg
808,819,Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft  ,Ubisoft Montreal  ,7.9,,2.28,1.47,0.04,0.44,4.22,https://www.vgchartz.com/games/boxart/full_assassins-creed-revelations_328AmericaFront.jpg,https://www.vgchartz.com/games/banners/assassins-creed-revelations_banner57.jpg
809,820,FIFA Soccer 06,PS2,2005.0,Sports,EA Sports  ,EA Canada  ,8.4,,0.78,2.55,0.04,0.84,4.21,https://www.vgchartz.com/games/boxart/6864151ccc.jpg,https://www.vgchartz.com/games/banners/fifa-soccer-06_banner91.jpg
812,823,Monster Hunter 4 Ultimate,3DS,2015.0,Role-Playing,Capcom  ,Capcom  ,8.8,,0.72,0.49,2.63,0.12,3.96,https://www.vgchartz.com/games/boxart/full_7735329AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/664687784734ccc.jpg
814,825,Street Fighter IV,PS3,2009.0,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.0,2.04,1.05,0.59,0.52,4.19,https://www.vgchartz.com/games/boxart/full_4144122AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/street-fighter-iv_banner73.jpg
816,827,FIFA Soccer 12,X360,2011.0,Sports,EA Sports  ,EA Canada  ,9.2,,0.85,2.79,0.02,0.52,4.18,https://www.vgchartz.com/games/boxart/full_fifa-soccer-12_845AmericaFront.jpg,https://www.vgchartz.com/games/banners/fifa-soccer-12_banner71.jpg
817,828,Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision  ,Infinity Ward  ,7.5,,1.79,1.64,0.05,0.69,4.17,https://www.vgchartz.com/games/boxart/full_9732403AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/574217372126ccc.jpg
818,829,Teenage Mutant Ninja Turtles,NES,1989.0,Platform,Ultra Games  ,Konami  ,5.9,,3.38,0.44,0.31,0.04,4.17,https://www.vgchartz.com/games/boxart/8290971ccc.jpg,https://www.vgchartz.com/games/banners/teenage-mutant-ninja-turtles_banner99.jpg
820,831,Excitebike,NES,1985.0,Racing,Nintendo  ,Nintendo R&D1  ,,,2.04,0.48,1.57,0.07,4.16,https://www.vgchartz.com/games/boxart/1280663ccc.jpg,https://www.vgchartz.com/games/banners/82191596250ccc.png
822,833,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.53,1.31,0.47,0.26,3.57,https://www.vgchartz.com/games/boxart/full_6562868AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/897860573171ccc.jpg
824,835,Star Wars Battlefront (2015),XOne,2015.0,Shooter,Electronic Arts  ,EA DICE  ,6.9,,2.49,1.26,0.02,0.38,4.15,https://www.vgchartz.com/games/boxart/full_8451662AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/516634783363ccc.jpg
825,836,FIFA 14,X360,2013.0,Sports,EA Sports  ,EA Canada  ,,,0.94,2.92,0.01,0.29,4.15,https://www.vgchartz.com/games/boxart/full_6590731AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/716619472085ccc.jpg
826,837,Madden NFL 2003,PS2,2002.0,Sports,EA Sports  ,EA Tiburon  ,9.4,,3.36,0.21,0.01,0.56,4.14,https://www.vgchartz.com/games/boxart/32121ccc.jpg,https://www.vgchartz.com/games/banners/madden-nfl-2003_banner25.png
827,838,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft  ,Ubisoft Montreal  ,,,1.25,2.16,0.09,0.65,4.14,https://www.vgchartz.com/games/boxart/full_9858108AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/825955580235ccc.png
828,839,Destiny 2,PS4,2017.0,Shooter,Activision  ,Bungie  ,,,1.92,1.44,0.1,0.69,4.14,https://www.vgchartz.com/games/boxart/full_9963001AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6861019166065ccc.png
830,841,Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,Nintendo  ,Nintendo EAD  ,9.0,,1.65,0.61,1.76,0.09,4.12,https://www.vgchartz.com/games/boxart/269609ccc.jpg,https://www.vgchartz.com/games/banners/super-mario-world-2-yoshis-island_banner95.jpg
831,842,Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,8.1,,1.65,1.68,0.11,0.66,4.11,https://www.vgchartz.com/games/boxart/full_2497280AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/938973579437ccc.png
832,843,FIFA 07 Soccer,PS2,2006.0,Sports,EA Sports  ,Team Fusion  ,8.4,,0.71,2.48,0.03,0.89,4.11,https://www.vgchartz.com/games/boxart/8249133ccc.jpg,https://www.vgchartz.com/games/banners/fifa-07-soccer_banner29.jpg
836,847,Street Fighter II Turbo,SNES,1993.0,Fighting,Capcom  ,Capcom  ,9.0,,1.42,0.51,2.1,0.07,4.1,https://www.vgchartz.com/games/boxart/full_street-fighter-ii-turbo_9AmericaFront.jpg,https://www.vgchartz.com/games/banners/street-fighter-ii-turbo_banner19.jpg
837,848,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment  ,Naughty Dog  ,8.6,,3.78,2.17,1.31,0.31,7.58,https://www.vgchartz.com/games/boxart/full_7543191AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/crash-bandicoot-2-cortex-strikes-back_banner93.jpg
838,849,Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,,2.67,1.03,0.04,0.34,4.08,https://www.vgchartz.com/games/boxart/full_fallout-new-vegas_2AmericaFront.jpg,https://www.vgchartz.com/games/banners/fallout-new-vegas_banner55.png
839,850,Assassin's Creed Origins,PS4,2017.0,Action,Ubisoft  ,Ubisoft Montreal  ,,,1.22,2.11,0.11,0.63,4.06,https://www.vgchartz.com/games/boxart/full_9947060AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7899040181687ccc.jpg
840,851,Far Cry 4,PS4,2014.0,Shooter,Ubisoft  ,Ubisoft Montreal  ,8.4,,1.18,2.14,0.11,0.63,4.06,https://www.vgchartz.com/games/boxart/full_914135AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/566073480324ccc.jpg
841,852,Carnival Games,Wii,2007.0,Misc,Global Star Software  ,Cat Daddy Games  ,4.2,,2.12,1.47,0.05,0.42,4.06,https://www.vgchartz.com/games/boxart/full_5471499AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/carnival-games_banner1.jpg
842,853,World Soccer Winning Eleven 9,PS2,2006.0,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,8.9,,0.12,2.26,0.9,0.77,4.06,https://www.vgchartz.com/games/boxart/6643842ccc.jpg,https://www.vgchartz.com/games/banners/276930813657ccc.png
843,854,Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.1,,2.35,1.27,0.03,0.41,4.05,https://www.vgchartz.com/games/boxart/full_7383120AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/forza-motorsport-2_banner71.jpg
844,855,Namco Museum Vol.3,PS,1997.0,Misc,Namco  ,Namco  ,,,2.28,1.55,0.16,0.06,4.05,https://www.vgchartz.com/games/boxart/full_3964599AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/85224993878ccc.png
845,856,Tekken Tag Tournament,PS2,2000.0,Fighting,Namco  ,Namco  ,8.7,,1.68,1.51,0.51,0.35,4.05,https://www.vgchartz.com/games/boxart/full_8749429AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/437414525ccc.png
847,858,Super Mario Maker,WiiU,2015.0,Platform,Nintendo  ,Nintendo EAD  ,8.8,,1.27,0.94,1.03,0.21,3.45,https://www.vgchartz.com/games/boxart/full_3540643AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/38805182961ccc.jpg
848,859,Golf,NES,1985.0,Sports,Nintendo  ,Nintendo  ,,,1.22,0.28,2.46,0.04,4.01,https://www.vgchartz.com/games/boxart/8130187ccc.jpg,https://www.vgchartz.com/games/banners/golf_banner57.jpg
855,866,EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,7.5,,0.88,2.3,0.2,0.83,4.2,https://www.vgchartz.com/games/boxart/7892769ccc.jpg,https://www.vgchartz.com/games/banners/40646096251ccc.jpg
865,876,Monster Hunter: World,PS4,2018.0,Action,Capcom  ,Capcom  ,9.3,9.0,1.03,1.06,2.17,0.42,4.67,https://www.vgchartz.com/games/boxart/full_9898553AmericaFrontccc.png,https://www.vgchartz.com/games/banners/8828384182721ccc.png
875,886,Star Fox 64,N64,1997.0,Shooter,Nintendo  ,Nintendo EAD  ,9.0,,2.78,0.58,0.64,0.04,4.03,https://www.vgchartz.com/games/boxart/6520536ccc.jpg,https://www.vgchartz.com/games/banners/star-fox-64_banner19.png
888,899,Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,8.8,,2.18,1.15,0.07,0.61,4.0,https://www.vgchartz.com/games/boxart/full_8108598AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/fallout-3_banner33.png
892,903,NBA 2K16,PS4,2015.0,Sports,2K Sports  ,Visual Concepts  ,8.7,,2.56,0.66,0.05,0.71,3.98,https://www.vgchartz.com/games/boxart/full_6414423AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/131470785556ccc.jpg
894,905,Far Cry 5,PS4,2018.0,Action,Ubisoft  ,Ubisoft  ,7.9,,1.44,1.73,0.15,0.62,3.95,https://www.vgchartz.com/games/boxart/full_2414906AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2480013177921ccc.jpg
895,906,Battlefield 4,PS4,2013.0,Shooter,Electronic Arts  ,EA DICE  ,8.3,,1.4,1.74,0.19,0.62,3.94,https://www.vgchartz.com/games/boxart/full_8649362AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/103607272001ccc.jpg
896,907,Assassin's Creed IV: Black Flag,PS3,2013.0,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.7,,1.34,1.86,0.13,0.62,3.94,https://www.vgchartz.com/games/boxart/full_270231AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/528187871597ccc.jpg
897,908,EA Sports Active,Wii,2009.0,Sports,EA Sports  ,EA Vancouver  ,8.3,,2.11,1.35,0.06,0.4,3.93,https://www.vgchartz.com/games/boxart/full_3076111AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/ea-sports-active_banner64.jpg
900,911,Donkey Kong Land,GB,1995.0,Platform,Nintendo  ,Rare Ltd.  ,,,1.97,0.76,1.07,0.11,3.91,https://www.vgchartz.com/games/boxart/full_1159073AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/donkey-kong-land_banner84.jpg
904,915,Tony Hawk's Underground,PS2,2003.0,Sports,Activision  ,Neversoft Entertainment  ,8.7,,2.29,1.17,0.01,0.42,3.9,https://www.vgchartz.com/games/boxart/1571136ccc.jpg,https://www.vgchartz.com/games/banners/tony-hawks-underground_banner89.jpg
906,917,Professor Layton and the Diabolical Box,DS,2009.0,Adventure,Nintendo  ,Level 5  ,8.5,,0.9,1.76,0.92,0.37,3.95,https://www.vgchartz.com/games/boxart/full_7372513AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/professor-layton-and-the-diabolical-box_banner81.png
907,918,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.6,,2.15,1.13,0.1,0.5,3.88,https://www.vgchartz.com/games/boxart/full_sports-champions_6AmericaFront.png,https://www.vgchartz.com/games/banners/sports-champions_banner28.jpg
909,920,World Soccer Winning Eleven 8 International,PS2,2005.0,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,,0.16,1.89,1.12,0.68,3.85,https://www.vgchartz.com/games/boxart/3345744ccc.jpg,https://www.vgchartz.com/games/banners/306716617047ccc.png
911,922,Namco Museum Vol.1,PS,1996.0,Misc,Namco  ,Namco  ,,,2.12,1.44,0.22,0.06,3.84,https://www.vgchartz.com/games/boxart/1479790ccc.jpg,https://www.vgchartz.com/games/banners/20704773876ccc.png
913,924,The Legend of Zelda: Link's Awakening,GB,1993.0,Adventure,Nintendo  ,Nintendo EAD  ,,,2.21,0.96,0.54,0.13,3.83,https://www.vgchartz.com/games/boxart/full_8647453AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/the-legend-of-zelda-links-awakening_banner34.jpg
914,925,Resident Evil VII: Biohazard,PS4,2017.0,Action,Capcom  ,Capcom  ,8.6,,0.88,1.56,0.41,0.46,3.31,https://www.vgchartz.com/games/boxart/full_6517784AmericaFrontccc.png,https://www.vgchartz.com/games/banners/3475172120127ccc.png
918,929,Monster Hunter Freedom Unite,PSP,2009.0,Role-Playing,Capcom  ,Capcom Production Studio 1  ,7.7,9.7,0.47,0.57,4.13,0.34,5.5,https://www.vgchartz.com/games/boxart/full_7807469AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/monster-hunter-freedom-unite_banner10.jpg
919,930,Gran Turismo Sport,PS4,2017.0,Racing,Sony Interactive Entertainment  ,Polyphony Digital  ,,,0.63,2.35,0.24,0.54,3.77,https://www.vgchartz.com/games/boxart/full_7498235AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/342719186332ccc.jpg
923,934,Ratchet & Clank: Size Matters,PSP,2007.0,Platform,Sony Computer Entertainment  ,High Impact Games  ,8.5,,1.4,1.4,0.1,0.86,3.75,https://www.vgchartz.com/games/boxart/full_9727386AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/ratchet-ampamp-clank-size-matters_banner54.jpg
924,935,Pokémon Trading Card Game,GB,2000.0,Strategy,Nintendo  ,Hudson Soft  ,8.3,,1.49,0.73,1.38,0.1,3.7,https://www.vgchartz.com/games/boxart/8358056ccc.jpg,https://www.vgchartz.com/games/banners/pokemon-trading-card-game_banner59.jpg
925,936,Ratchet & Clank,PS2,2002.0,Platform,Sony Computer Entertainment  ,Insomniac Games  ,,,1.44,1.01,0.57,0.3,3.33,https://www.vgchartz.com/games/boxart/6911521ccc.jpg,https://www.vgchartz.com/games/banners/ratchet-ampamp-clank_banner59.jpg
