Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,card_image,full_image
482,Battlefield V,All,2018,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6567975AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4463367227433ccc.png
483,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016,Role-Playing,Nintendo  ,Level 5  ,,,0.22,0.2,3.19,0.04,3.65,https://www.vgchartz.com/games/boxart/full_8088410AmericaFrontccc.png,https://www.vgchartz.com/games/banners/169080881068ccc.png
484,Ark,Series,2017,Action-Adventure,Studio Wildcard  ,Studio Wildcard  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6833604AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1970499226352ccc.png
485,The Legend of Zelda: Twilight Princess,Wii,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18,https://www.vgchartz.com/games/boxart/full_2379938AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/the-legend-of-zelda-twilight-princess_banner27.jpg
486,Battlefield 1,PS4,2016,Shooter,Electronic Arts  ,EA DICE  ,9.1,,2.2,3.65,0.29,1.12,7.26,https://www.vgchartz.com/games/boxart/full_9032449AmericaFrontccc.png,https://www.vgchartz.com/games/banners/5829446110843ccc.jpg
487,Battlefield 3,PS3,2011,Shooter,Electronic Arts  ,Dice  ,8.5,,2.86,2.94,0.35,1.07,7.21,https://www.vgchartz.com/games/boxart/full_battlefield-3_278AmericaFront.jpg,https://www.vgchartz.com/games/banners/battlefield-3_banner77.jpg
488,Oddworld,Series,1997,Action-Adventure,GT Interactive  ,Oddworld Inhabitants  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8863216AmericaFrontccc.png,https://www.vgchartz.com/games/banners/1939177226141ccc.png
489,Need for Speed Underground,PS2,2003,Racing,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2,https://www.vgchartz.com/games/boxart/9040231ccc.jpg,https://www.vgchartz.com/games/banners/58455815491ccc.png
490,Assassin's Creed: Brotherhood,All,2010,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1524099AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/31949227574ccc.png
491,The Binding of Isaac,PC,2011,Action,Edmund McMillen  ,Edmund McMillen  ,8.3,,,0.0,,0.0,0.0,https://www.vgchartz.com/games/boxart/full_the-binding-of-isaac_366AmericaFront.jpg,https://www.vgchartz.com/games/banners/the-binding-of-isaac_banner0.jpg
492,Tomb Raider,All,1996,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1871033AmericaFrontccc.png,https://www.vgchartz.com/games/banners/6773447227633ccc.png
493,WarioWare,Series,2003,Party,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6306042AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3626422226211ccc.png
494,Super Mario Maker 2,NS,2019,Platform,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9518829AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3530889223537ccc.png
495,Pokémon Emerald Version,GBA,2005,Role-Playing,Nintendo  ,Game Freak  ,7.7,,2.57,1.58,2.06,0.21,6.41,https://www.vgchartz.com/games/boxart/4017681ccc.jpg,https://www.vgchartz.com/games/banners/pokemon-emerald-version_banner42.jpg
496,Ark: Survival Evolved,All,2017,Action-Adventure,Studio Wildcard  ,Studio Wildcard  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3017275AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6598341227997ccc.png
497,Assassin's Creed: Revelations,All,2011,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8491643AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3216465227575ccc.png
498,DiRT,Series,2007,Racing,Codemasters  ,Codemasters  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8826849AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6622127228116ccc.png
499,Grim Dawn,All,2016,Role-Playing,Crate Entertainment  ,Crate Entertainment  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7932218AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9351028230174ccc.png
500,Guild Wars 2,PC,2012,Role-Playing,NCSoft  ,ArenaNet  ,,,1.01,1.11,,0.25,2.37,https://www.vgchartz.com/games/boxart/full_guild-wars-2_303AmericaFront.jpg,https://www.vgchartz.com/games/banners/guild-wars-2_banner32.png
501,Just Dance 3,All,2011,Music,Ubisoft  ,Ubisoft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6437038AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7155363227613ccc.png
502,Mafia III,All,2016,Action-Adventure,2K Games  ,Hangar 13  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4016020AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3034119227732ccc.png
503,Mana,Series,1991,Role-Playing,Square  ,Square  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1972160AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/167557226112ccc.png
504,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami  ,Konami Computer Entertainment Japan  ,9.5,7.0,2.45,2.01,0.87,0.72,6.05,https://www.vgchartz.com/games/boxart/7540650ccc.jpg,https://www.vgchartz.com/games/banners/metal-gear-solid-2-sons-of-liberty_banner91.jpg
505,NBA 2K14,All,2013,Sports,2K Sports  ,Visual Concepts  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6547508AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5440353227591ccc.png
506,NBA 2K15,All,2014,Sports,2K Sports  ,Visual Concepts  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6568017AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/988343227592ccc.png
507,Project Gotham Racing,Series,2001,Racing,Sega  ,Bizarre Creations  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1634771AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7232113226140ccc.png
508,Rise of the Tomb Raider,All,2015,Action-Adventure,Square Enix  ,Crystal Dynamics  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7733277AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3586242227644ccc.png
509,Rugrats,Series,1999,Action-Adventure,THQ  ,Realtime Associates  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5220917AmericaFrontccc.png,https://www.vgchartz.com/games/banners/6755171226114ccc.png
510,Star Wars: The Force Unleashed,All,2008,Action-Adventure,LucasArts  ,LucasArts  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6596701AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7812778228146ccc.png
511,"Warhammer 40,000: Dawn of War",Series,2004,Strategy,THQ  ,Relic Entertainment  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_992919AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7258469227801ccc.png
512,The Room,All,2012,Puzzle,Fireproof Games  ,Fireproof Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3412807AmericaFrontccc.png,https://www.vgchartz.com/games/banners/6150565227946ccc.png
513,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts  ,EA Black Box  ,8.3,,2.71,3.02,0.08,1.09,6.9,https://www.vgchartz.com/games/boxart/full_868897AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/need-for-speed-underground-2_banner65.jpg
514,Just Dance 4,Wii,2012,Music,Ubisoft  ,Ubisoft  ,,,4.05,2.21,,0.62,6.89,https://www.vgchartz.com/games/boxart/full_9463304AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/751938570917ccc.jpg
515,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo  ,Nintendo EAD  ,8.5,,4.12,1.77,0.87,0.19,6.95,https://www.vgchartz.com/games/boxart/7829386ccc.jpg,https://www.vgchartz.com/games/banners/mario-kart-double-dash_banner66.png
516,Tomb Raider II,All,1997,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5452898AmericaFrontccc.png,https://www.vgchartz.com/games/banners/7361714227634ccc.png
517,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts  ,EA Los Angeles  ,9.0,,2.93,2.75,0.17,0.99,6.83,https://www.vgchartz.com/games/boxart/7583871ccc.jpg,https://www.vgchartz.com/games/banners/medal-of-honor-frontline_banner64.jpg
518,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment  ,Naughty Dog  ,7.8,,3.23,2.35,0.94,0.3,6.82,https://www.vgchartz.com/games/boxart/full_5316597AmericaFrontccc.png,https://www.vgchartz.com/games/banners/crash-bandicoot_banner72.jpg
519,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.5,9.6,3.28,2.22,0.21,1.02,6.74,https://www.vgchartz.com/games/boxart/full_2350454AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/uncharted-2-among-thieves_banner66.png
520,Star Wars: Knights of the Old Republic,Series,2003,Role-Playing,LucasArts  ,BioWare  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3423518AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8022489226263ccc.png
521,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72,https://www.vgchartz.com/games/boxart/full_75346AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/call-of-duty-4-modern-warfare_banner60.jpg
522,Lego Star Wars: The Video Game,All,2005,Action-Adventure,Eidos Interactive  ,TT Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7155677AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6552110227725ccc.png
523,Tomodachi Life,3DS,2014,Simulation,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88,https://www.vgchartz.com/games/boxart/full_6316001AmericaFrontccc.png,https://www.vgchartz.com/games/banners/650398281026ccc.png
524,FIFA Soccer 12,PS3,2011,Sports,EA Sports  ,EA Canada  ,9.2,,0.84,4.33,0.11,1.37,6.65,https://www.vgchartz.com/games/boxart/full_fifa-soccer-12_475AmericaFront.jpg,https://www.vgchartz.com/games/banners/fifa-soccer-12_banner93.jpg
525,FIFA 14,PS3,2013,Sports,EA Sports  ,EA Canada  ,,,0.79,4.77,0.07,0.98,6.61,https://www.vgchartz.com/games/boxart/full_6002851AmericaFrontccc.jpeg,https://www.vgchartz.com/games/banners/154353372084ccc.jpg
526,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,0.57,0.72,,0.11,1.4,https://www.vgchartz.com/games/boxart/full_4171406AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/477667585600ccc.jpg
527,Ben 10,Series,2007,Action-Adventure,D3 Publisher  ,High Voltage Software  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_36270AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8780505227811ccc.png
528,Red Dead Redemption,PS3,2011,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1.0,6.57,https://www.vgchartz.com/games/boxart/full_7375558AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/red-dead-redemption_banner89.jpg
529,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo  ,Retro Studios  ,8.6,,3.19,1.81,1.03,0.47,6.5,https://www.vgchartz.com/games/boxart/full_donkey-kong-country-returns_6AmericaFront.jpg,https://www.vgchartz.com/games/banners/donkey-kong-country-returns_banner36.jpg
530,Mario & Sonic at the Olympic Winter Games,All,2009,Sports,Sega  ,Sega Sports R&D  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8394973AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8117820227757ccc.png
531,The Legend of Zelda,NES,1987,Adventure,Nintendo  ,Nintendo EAD  ,9.0,,3.74,0.93,1.69,0.14,6.51,https://www.vgchartz.com/games/boxart/full_3817175AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/the-legend-of-zelda_banner4.png
532,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5,https://www.vgchartz.com/games/boxart/full_7776699AmericaFrontccc.jpeg,https://www.vgchartz.com/games/banners/789459170617ccc.jpg
533,Dragon Quest XI,All,2018,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6258544AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/869496227598ccc.png
534,Guild Wars,PC,2005,Role-Playing,NCSoft  ,ArenaNet  ,8.7,,0.03,0.0,,0.0,0.04,https://www.vgchartz.com/games/boxart/7542120ccc.jpg,https://www.vgchartz.com/games/banners/guild-wars_banner15.png
535,Marvel's Spider-Man: Miles Morales,All,2020,Action-Adventure,Sony Interactive Entertainment  ,Insomniac Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7541841AmericaFrontccc.jpeg,https://www.vgchartz.com/games/banners/686247228191ccc.png
536,Pokémon Legends: Arceus,NS,2022,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_89834AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6192160228357ccc.png
537,Red Dead Redemption,X360,2010,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5,https://www.vgchartz.com/games/boxart/full_2634795AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/red-dead-redemption_banner15.jpg
538,Xeno,Series,1998,Role-Playing,Square  ,Square  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3963621AmericaFrontccc.png,https://www.vgchartz.com/games/banners/9464237226327ccc.png
539,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,2.57,2.68,0.25,0.99,6.49,https://www.vgchartz.com/games/boxart/full_the-elder-scrolls-v-skyrim_425AmericaFront.jpg,https://www.vgchartz.com/games/banners/the-elder-scrolls-v-skyrim_banner73.jpg
540,Diddy Kong Racing,Series,1997,Racing,Nintendo  ,Rare Ltd.  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5267090AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9408148226209ccc.png
541,Elite,Series,1984,Simulation,Imagineer  ,David Braben  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2481526AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9240254228076ccc.png
542,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0.0,2.33,1.74,5.95,https://www.vgchartz.com/games/boxart/full_5437540AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/final-fantasy-xii_banner89.png
543,Lost Planet,Series,2007,Shooter,Capcom  ,Capcom  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1308274AmericaFrontccc.png,https://www.vgchartz.com/games/banners/9590440226061ccc.png
544,Pokémon Crystal Version,GBC,2001,Role-Playing,Nintendo  ,Game Freak  ,8.7,,2.55,1.56,1.29,0.99,6.39,https://www.vgchartz.com/games/boxart/2989621ccc.jpg,https://www.vgchartz.com/games/banners/76243864021ccc.jpg
545,Hatsune Miku: Project,Series,2012,Music,Sega  ,Sega  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8338537AmericaFrontccc.png,https://www.vgchartz.com/games/banners/6292222226080ccc.png
546,Minecraft,PS4,2014,Misc,Sony Computer Entertainment  ,Mojang  ,9.4,,1.89,3.13,0.35,0.96,6.33,https://www.vgchartz.com/games/boxart/full_6776646AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/191092775586ccc.jpg
547,Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo  ,Next Level Games  ,8.6,,2.03,1.88,1.17,0.36,5.44,https://www.vgchartz.com/games/boxart/full_5092550AmericaFrontccc.png,https://www.vgchartz.com/games/banners/luigis-mansion-2_banner18.jpg
548,FIFA 15,PS4,2014,Sports,EA Sports  ,EA Canada  ,8.1,,0.83,4.49,0.05,0.94,6.32,https://www.vgchartz.com/games/boxart/full_189344AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/325433482916ccc.jpg
549,Kingdom Hearts,PS2,2002,Role-Playing,Square EA  ,SquareSoft  ,8.5,,3.64,1.2,1.49,0.07,6.4,https://www.vgchartz.com/games/boxart/6663606ccc.jpg,https://www.vgchartz.com/games/banners/kingdom-hearts_banner85.jpg
550,Myst,PC,1995,Adventure,Broderbund  ,Cyan Worlds  ,8.9,,0.02,2.79,,,2.81,https://www.vgchartz.com/games/boxart/6809758ccc.jpg,https://www.vgchartz.com/games/banners/myst_banner54.jpg
551,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom  ,Capcom  ,,,2.47,0.83,2.87,0.12,6.3,https://www.vgchartz.com/games/boxart/1247493ccc.jpg,https://www.vgchartz.com/games/banners/street-fighter-ii-the-world-warrior_banner8.jpg
552,Driver,PS,1999,Action,GT Interactive  ,Reflections Interactive  ,8.5,,3.11,2.8,0.02,0.33,6.27,https://www.vgchartz.com/games/boxart/7411582ccc.jpg,https://www.vgchartz.com/games/banners/driver_banner70.jpg
553,Call of Duty: WWII,XOne,2017,Shooter,Activision  ,Sledgehammer Games  ,,,3.75,1.91,,0.57,6.23,https://www.vgchartz.com/games/boxart/full_9289123AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7914731170598ccc.png
554,The Legend of Zelda: Ocarina of Time 3D,3DS,2011,Adventure,Nintendo  ,GREZZO  ,9.3,,1.42,0.01,0.56,,2.0,https://www.vgchartz.com/games/boxart/full_the-legend-of-zelda-ocarina-of-time-3d_127AmericaFront.jpg,https://www.vgchartz.com/games/banners/the-legend-of-zelda-ocarina-of-time-3d_banner66.jpg
555,Big Brain Academy,DS,2006,Misc,Nintendo  ,Nintendo EAD  ,7.7,,1.66,2.75,1.6,0.62,6.63,https://www.vgchartz.com/games/boxart/full_8805912AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8216840193ccc.png
556,Street Fighter V,All,2016,Fighting,Capcom  ,Capcom  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6679574AmericaFrontccc.jpeg,https://www.vgchartz.com/games/banners/4124093227482ccc.png
557,Minecraft,PS3,2014,Misc,Sony Computer Entertainment America  ,Mojang  ,,,2.21,2.86,,0.99,6.05,https://www.vgchartz.com/games/boxart/full_6168598AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/938889175585ccc.jpg
558,Pikmin,Series,2001,Strategy,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9178083AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4152798227083ccc.png
559,Deus Ex,Series,2000,Role-Playing,Eidos Interactive  ,Ion Storm  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4631072AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3983492226242ccc.png
560,Borderlands,All,2009,Shooter,2K Games  ,Gearbox Software  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4181962AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7261500227650ccc.png
561,Carnival Games,All,2007,Party,Global Star Software  ,Cat Daddy Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6678222AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1206913227984ccc.png
562,Championship Manager,Series,1992,Simulation,Domark Software  ,Intelek  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4006240AmericaFrontccc.png,https://www.vgchartz.com/games/banners/8517152226109ccc.png
563,Cities: Skylines,All,2015,Simulation,Paradox Interactive   ,Colossal Order  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3703430AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8952394228143ccc.png
564,Conflict,Series,2002,Shooter,Gotham Games  ,Pivotal Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6398958AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8800803226107ccc.png
565,Cuphead,Series,2017,Platform,Studio MDHR  ,Studio MDHR  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4457140AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8235422226311ccc.png
566,Cuphead,All,2017,Platform,Studio MDHR  ,Studio MDHR  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7762029AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4235826227854ccc.png
567,Dead Cells,All,2018,Action,Motion Twin  ,Motion Twin  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3769410AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3080468227431ccc.png
568,Dead Space,Series,2008,Action-Adventure,Electronic Arts  ,EA Redwood Shores  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6340012AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1067947226378ccc.png
569,Detroit: Become Human,All,2018,Adventure,Sony Interactive Entertainment  ,Quantic Dream  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1636841AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8065019228344ccc.png
570,Dragon Age: Inquisition,All,2014,Role-Playing,Electronic Arts  ,BioWare  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9685302AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7330204227995ccc.png
571,Dragon's Dogma,Series,2012,Role-Playing,Capcom  ,Capcom  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6578282AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4480431226063ccc.png
572,Limbo,All,2010,Platform,Playdead  ,Playdead  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2593325AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7154688227969ccc.png
573,Mass Effect 3,All,2012,Role-Playing,Electronic Arts  ,BioWare  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6794384AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7673296227903ccc.png
574,Metal Gear Solid,PS,1998,Action,Konami  ,Konami Computer Entertainment Japan  ,9.3,,3.18,1.83,0.78,0.24,6.03,https://www.vgchartz.com/games/boxart/9272999ccc.jpg,https://www.vgchartz.com/games/banners/metal-gear-solid_banner29.png
575,Metal Gear Solid,All,1998,Action-Adventure,Konami  ,Konami Computer Entertainment Japan  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7730586AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6837316227658ccc.png
576,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami  ,Kojima Productions  ,9.3,9.8,2.63,1.72,0.83,0.81,6.0,https://www.vgchartz.com/games/boxart/full_9894043AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/metal-gear-solid-4-guns-of-the-patriots_banner11.jpg
577,Metal Gear Solid V: The Phantom Pain,All,2015,Action-Adventure,Konami  ,Kojima Productions  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_233305AmericaFrontccc.png,https://www.vgchartz.com/games/banners/6015689227660ccc.png
578,Metro Exodus,All,2019,Shooter,Deep Silver  ,4a-games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5122178AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5685132230162ccc.png
579,MotorStorm,Series,2007,Racing,Sony Computer Entertainment  ,Evolution Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8898475AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1978369226380ccc.png
580,NBA Jam,Series,1994,Sports,Midway  ,Midway  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5910628AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3048728226223ccc.png
581,NieR: Automata,All,2017,Role-Playing,Square Enix  ,PlatinumGames  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_4164171AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7446322227961ccc.png
582,Nioh,Series,2017,Role-Playing,Koei Tecmo  ,Team Ninja  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5941674AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2585360226088ccc.png
583,Sonic the Hedgehog 2,GEN,1992,Platform,Sega  ,Sonic Team  ,,,4.47,1.2,0.16,0.19,6.03,https://www.vgchartz.com/games/boxart/full_7789756AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/sonic-the-hedgehog-2_banner49.png
584,Star Wars: Battlefront II,All,2005,Shooter,LucasArts  ,Pandemic Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6663240AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9297487227697ccc.png
585,StarCraft II: Wings of Liberty,PC,2010,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,,2.6,1.7,,0.56,4.86,https://www.vgchartz.com/games/boxart/full_starcraft-ii-wings-of-liberty_3AmericaFront.jpg,https://www.vgchartz.com/games/banners/starcraft-ii-wings-of-liberty_banner52.png
586,Tekken 5,PS2,2005,Fighting,Namco  ,Namco  ,9.0,,0.93,1.94,0.31,0.7,3.87,https://www.vgchartz.com/games/boxart/full_9832080AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/tekken-5_banner6.jpg
587,Tom Clancy's Splinter Cell,All,2002,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9733005AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4060567227736ccc.png
588,Pokémon Snap,Series,1999,Simulation,Nintendo  ,HAL Laboratory  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1659772AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2290569229503ccc.png
589,Euro Truck Simulator 2,PC,2013,Simulation,SCS Software  ,SCS Software  ,8.5,,,0.13,,0.01,0.14,https://www.vgchartz.com/games/boxart/full_7497790PALFrontccc.jpg,https://www.vgchartz.com/games/banners/285110871076ccc.png
590,Tekken 6,All,2007,Fighting,Namco Bandai Games  ,Namco Bandai Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9620987AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3777527227679ccc.png
591,Tomb Raider III,All,1998,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9095153AmericaFrontccc.png,https://www.vgchartz.com/games/banners/1248950227635ccc.png
592,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo  ,Intelligent Systems  ,9.3,,2.62,1.64,0.99,0.23,5.47,https://www.vgchartz.com/games/boxart/2658248ccc.jpg,https://www.vgchartz.com/games/banners/mario-kart-super-circuit_banner71.jpg
593,Super Mario Sunshine,GC,2002,Platform,Nintendo  ,Nintendo EAD  ,9.2,,4.01,1.26,0.87,0.17,6.31,https://www.vgchartz.com/games/boxart/full_7690529AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/super-mario-sunshine_banner89.jpg
